Localization Key,Description,TitleNote,Note,ContractIntel,EncounterSummary,HaulingSummary,RewardList,ItemRewardList,Cooldown
Foxwell_DestroyNarcotics_M_title_001,Destroy Illegal Drugs, <EM4>[BP]</EM4>,,,,,,,
Foxwell_DestroyNarcotics_M_desc_001,"We’ve been contracted to take care of a problem at <EM4>[LOCATION]</EM4>. There’s been a recent surge of activity in the area tied to the drug trade. It appears to be a well-run operation and there’s a growing concern that it’ll expand wider if not stopped. Any chance you’re available to make sure that doesn’t happen?   \n\nJob is pretty straightforward. Head to the site and destroy their stash of drugs. That way they won’t have the creds to expand their operations any further. I wouldn’t expect them to make this easy on you though. Armed guards are regularly seen around the facility, so be sure you’ve got enough gear to deal with them too. \n\nMarcus Clenn\nFoxwell Enforcement\n'Security, Your Way'\n\nFoxwell Enforcement is a bonded security specialist licensed to operate throughout the UEE. We are always looking for new operators to join our family. If you or anyone you know is interested, please reach out to one of our contract representatives.",,[BP Reward],"Reward: 115,000 aUEC\nTime Limit: 31.7 min\nEfficiency: 3,628 aUEC/min\nCooldown: 15 min\nRequires: Security Contractor",,,100% chance — 1 of 8\n- Antium Helmet Jet\n- Antium Core Maroon\n- Antium Legs Maroon\n- Antium Helmet Maroon\n- Antium Helmet Moss Camo\n- Antium Arms Moss Camo\n- Antium Core Moss Camo\n- Antium Legs Moss Camo,,15 min
cfp_sabotage_VH_title_001,Destroy Outlaw Data Servers, <EM4>[BP]</EM4>,,,,,,,
cfp_sabotage_VH_desc_001,"Citizens for Prosperity have been monitoring a very dangerous outlaw group at [LOCATION] and we believe that they are in midst of planning a major attack which could throw the whole system into upheaval.\n\nIn order to protect all the progress we've made here, we would like you to raid their compound and destroy all the servers housing their plans. \n\nThis should at least provide us with enough of a reprieve for them to reconsider their offensive.\n\nThank you,\n \nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 162,750 aUEC\nTime Limit: 30 min\nEfficiency: 5,425 aUEC/min\nCooldown: 45 min\nRequires: Contractor",,,100% chance — 1 of 14\n- FS-9 LMG\n- BR-2 Shotgun\n- Gallant Rifle\n- ADP Arms Woodland\n- ADP Core\n- ADP Legs Woodland\n- Balor HCH Helmet\n- ADP-mk4 Arms Woodland\n- ADP-mk4 Legs Woodland\n- ADP-mk4 Core Woodland\n- ADP-mk4 Helmet Woodland\n- FS-9 Magazine (75 cap)\n- BR-2 Shotgun Magazine (12 cap)\n- Gallant Rifle Battery (45 cap),,45 min
cfp_sabotage_servers_VH_XT_title_001,Destroy XenoThreat Data Servers, <EM4>[BP]</EM4>,,,,,,,
cfp_sabotage_servers_VH_XT_desc_001,One of the Citizens for Prosperity members who have been serving as a XenoThreat informer has let us know that the data servers located at [LOCATION] our housing a trove of information vital to the gang's operation. \n\nIf you were able to destroy these servers on our behalf it would be a huge win for the security of the entire system.\n \nLima Endicott\nLead Dispatcher\nCitizens for Prosperity,,[BP Reward],"Reward: 162,750 aUEC\nTime Limit: 30 min\nEfficiency: 5,425 aUEC/min\nCooldown: 45 min\nRequires: Sr. Contractor",,,100% chance — 1 of 14\n- FS-9 LMG\n- BR-2 Shotgun\n- Gallant Rifle\n- ADP Arms Woodland\n- ADP Core\n- ADP Legs Woodland\n- Balor HCH Helmet\n- ADP-mk4 Arms Woodland\n- ADP-mk4 Legs Woodland\n- ADP-mk4 Core Woodland\n- ADP-mk4 Helmet Woodland\n- FS-9 Magazine (75 cap)\n- BR-2 Shotgun Magazine (12 cap)\n- Gallant Rifle Battery (45 cap),,45 min
headhunters_bombingrun_VH_XT_title_001,Destroy XenoThreat Fuel Reserves,,,,,,,,
headhunters_bombingrun_VH_XT_desc_001,"I won't get into the long and complicated politics of why I'm asking you to do this, but it's enough for you to know that I want it done. \n\nGo to [LOCATION] and blow up the XenoThreat fuel reserves there. It'll really be helping me out of a tight spot.\n\n-Stows",,,"Reward: 265,750 aUEC\nTime Limit: 35 min\nEfficiency: 7,593 aUEC/min\nRequires: Elite Contractor",,,,,
cfp_sabotage_servers_H_XT_title_001,Destroy XenoThreat Logistic Data, <EM4>[BP]</EM4>,,,,,,,
cfp_sabotage_servers_H_XT_desc_001,"We got a bit of a problem that I'm hoping you can solve for me. One of our informers has revealed that XenoThreat has been amassing data on Citizens for Prosperity operations throughout the system. \n\nThis information, if used correctly, could put our people at serious risk. The best solution is for you to completely destroy the servers where the data is being stored at [LOCATION].\n\nWith their trove of information wiped out, it should give our people a fighting chance.\n \nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 67,500 aUEC\nTime Limit: 20 min\nEfficiency: 3,375 aUEC/min\nCooldown: 45 min\nRequires: Contractor",,,100% chance — 1 of 12\n- P6-LR Sniper Rifle\n- A03 Sniper Rifle\n- CBH-3 Helmet Base\n- PAB-1 Arms\n- PAB-1 Core\n- PAB-1 Legs\n- TrueDef-Pro Arms\n- TrueDef-Pro Core Base\n- Argus Helmet\n- TrueDef-Pro Legs\n- A03 Sniper Rifle Magazine (15 cap)\n- P6-LR Magazine (8 cap),,45 min
vaughn_assassination_PA_VH_title,Destroying the Alliance,,,,,,,,
vaughn_assassination_PA_VH_desc,"We hope you enjoy a challenge, because this one is looking to be far from a walk in the park.\n\nFor reasons our client was unwilling to disclose, a rather prominent member of the People’s Alliance needs disposing of. The target, <EM4>[TARGET]</EM4>, was last seen at <EM4>[LOCATION]</EM4> piloting a high-class ship accompanied by several skilled allies.\n\nDo make the most of this opportunity.\n\nSincerely,\nVaughn",,,"Reward: 95,000 aUEC\nTime Limit: 12.5 min\nEfficiency: 7,600 aUEC/min\nRequires: Veteran Contractor",Encounter: 4-5 ships\nTarget: 1 ship(s)\nReinforcements: 3-4 ship(s),,,,
CFP_SabotageRelays_HH_001_Title,Disable Headhunter Comm Towers,,,,,,,,
CFP_SabotageRelays_HH_001_Desc,"Violence is never our first choice, but sometimes it must be used as a preventative measure.\n\nWe’re planning a strike on a Headhunter controlled outpost and need your help.\n\nWe need to make sure that if something goes wrong they won’t be able to call for backup and escalate the situation. That’s where you come in. We need you to head over to <EM4>[LOCATION]</EM4> and disable the communication towers. There should be a <EM4>control panel located at the top</EM4> of each tower that you can use to deactivate them.\n\nIf you’re able to do this, Citizens for Prosperity will be able to gain some vital ground in Pyro.\n\nIt’s also worth keeping in mind for future contracts that you can choose to take out the comms towers instead of risking a fight with reinforcement dropships.\n\nStay alert and stay safe.\n\nThank you,\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,,"Reward: 48,000 aUEC\nTime Limit: 12 min\nEfficiency: 4,000 aUEC/min\nRequires: Neutral",,,,,
cfp_sabotage_generators_VE_title_001,Disable Outlaw Stronghold at [LOCATION], <EM4>[BP]</EM4>,,,,,,,
cfp_sabotage_generators_VE_desc_001,"Following a series of raids against Citizens for Prosperity aligned settlements, we believe we have traced those responsible back to [LOCATION].\n\nAttacking them directly will pose too great of a risk and most likely encourage aggressive reprisals. Instead, we believe that if their power generators were to be disable it could force them to settle somewhere else.\n\nDo you think you could handle it for us?\n \nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 38,000 aUEC\nTime Limit: 12 min\nEfficiency: 3,167 aUEC/min\nCooldown: 45 min\nRequires: Jr. Contractor",,,100% chance — 1 of 12\n- P6-LR Sniper Rifle\n- A03 Sniper Rifle\n- CBH-3 Helmet Base\n- PAB-1 Arms\n- PAB-1 Core\n- PAB-1 Legs\n- TrueDef-Pro Arms\n- TrueDef-Pro Core Base\n- Argus Helmet\n- TrueDef-Pro Legs\n- A03 Sniper Rifle Magazine (15 cap)\n- P6-LR Magazine (8 cap),,45 min
TheCollector_Recipes_Title_Molten,Do Lava Suit,,,,,,,,
TheCollector_Recipes_Desc_Molten,"If you have armor, Wikelo can make it look warm. Good look for useful armor. Bring me things and will do.",,,,,Order: Carinite + RCMBNT-PWL-1 + RCMBNT-PWL-2 + RCMBNT-PWL-3 + Strata Arms + Strata Legs + Strata Helmet + Strata Backpack + Strata Core,,- Strata Core Heatwave\n- Strata Arms Heatwave\n- Strata Legs Heatwave\n- Strata Helmet Heatwave\n- Strata Backpack Heatwave,
searchbodyspace_title_H,Locate Missing Agent: [TARGET],,,,,,,,
vaughn_searchbody_space_H_Desc_001,"<EM4>[TARGET]</EM4> was a name that proved particularly troublesome for some time. Whether a master of evasion or just unerringly lucky all of our attempts have thus far failed.\n\nWith that being said, it seems that someone else may have beaten us to the punch so to speak. We’d like you to visit <EM4>[LOCATION]</EM4> and confirm if the target has indeed been neutralized. But be advised, I suspect they’re former crew may still be in the area, most likely out of a misplaced sense of loyalty. I’d suggest a crew of your own for this one, but will defer to your expertise.\n\nSincerely,\n\nVaughn",,,"Reward: 53,750 aUEC\nTime Limit: 13 min\nEfficiency: 4,135 aUEC/min\nRequires: Sr. Contractor",Encounter: 3 ships,,,,
headhunters_ChainElimAll_1C_ElimSpec_AttackCFP_M_title_001,Driving CFP out, <EM4>[BP]</EM4>,,,,,,,
headhunters_ChainElimAll_1C_ElimSpec_AttackCFP_M_desc_001,"We've been trying to play nice with these Citizens for Prosperity people, but they've made it abundantly clear that we don't have a place in their 'safe system.' Their use of mercs for security have been causing all kinds of unreasonable violence like when this asshole [TARGET] opened fire on a group of settlers to drive them away from an outpost they'd been eyeing. So now the gloves are coming off.\n\nI need some hard workers to go hit [LOCATION] and take out [TARGET]. Odds are, they'll stay hidden until you prove you're enough of a threat, so make sure you do some damage.\n\nStows out.",,[BP Reward],"Reward: 70,750 aUEC\nTime Limit: 16 min\nEfficiency: 4,422 aUEC/min\nRequires: Veteran Contractor",,,"100% chance — 1 of 8\n- Atzkav Sniper Rifle\n- Atzkav ""Igniter"" Sniper Rifle\n- Atzkav ""Mirage"" Sniper Rifle\n- Calico Arms Tactical\n- Calico Core Tactical\n- Calico Legs Tactical\n- Calico Helmet Tactical\n- Atzkav Sniper Rifle Battery (8 cap)",,
headhunters_EliminateSpecific_XenoThreat_title_001,Drop a XenoThreat, <EM4>[BP]</EM4>,,,,,,,
headhunters_EliminateSpecific_XenoThreat_desc_001,"Got a line on a XenoThreat that's been a pain in the ass. Not sure if you've heard the name, but [TARGET] is a scumbag even by XenoThreat standards. Vicious, sadistic, and a prick to boot. We want someone to punch their number. You up for it?\n\nLast word was that they were somewhere around [LOCATION]. Head there and take 'em out. Pretty simple.\n\nStows out.",,[BP Reward],"Reward: 147,250 aUEC\nTime Limit: 30 min\nEfficiency: 4,908 aUEC/min\nRequires: Veteran Contractor",,,"100% chance — 1 of 8\n- Devastator Shotgun\n- Devastator ""Warhawk"" Shotgun\n- Devastator ""Midnight"" Shotgun\n- Morozov-SH Core Thule\n- Morozov-SH Arms Thule\n- Morozov-SH Legs Thule\n- Morozov-SH Helmet Thule\n- Devastator Shotgun Battery (12 cap)",,
spacecollect_cargo_title_intro_01,Red Wind Seeking New Couriers,,,,,,,,
deadsaints_recoveritem_Intro_Desc_001,"Here’s the deal. Dead Saints need some new blood to help shift gear across the ’verse and if you can prove yourself useful, you could make some nice creds doing it.\n\nGot an easy one to start you out. Couple of hours ago, something went down over at <EM4>[LOCATION]</EM4> and a pilot of mine got ghosted. My tracker’s telling me that they didn’t find the stash of gear in there.\n\nIf you can get out there, get the package back and take it to <EM4>[DESTINATION]</EM4> without dying, I might have some more work for you. Can’t see you running into too much trouble as any ships you spot will likely be scavs looking for a quick cred. I’m sure you can take care of that.\n\n-Twitch",,[BP Chain],"Reward: 33,750 aUEC\nTime Limit: 11 min\nEfficiency: 3,068 aUEC/min\nRequires: Neutral",Encounter: 1 ships,,,,
bitzeros_shipheist_E_title_001,Easy Pickings,,,,,,,,
bitzeros_shipheist_E_desc_001,"Get this, we were sifting through some comms and picked up some excitement about a big score. It was easy work to figure out where they're hiding a ship loaded with cargo and we figured, hey, why keep this profitable knowledge to ourselves? \n\nSend us a few creds in finder fees and we'll send you the coordinates of the asteroid base where the ship is stashed. It’s locked inside a hangar, so you’ll need to get to it via the station’s elevators. But once inside, you’ll be able to override the lockdown at a console. Do that and it should be easy pickings.\n\n57 65 65 76 69 6c",,,"Time Limit: 1 min\nCooldown: 45 min\nBuy-in: 13,500 aUEC\nRequires: Jr. Contractor",Encounter: 1 ships\nHostiles: 1 ship(s),,,,45 min
Headhunters_DefendLocation_VE_Title_001,Eliminate Annoyance, <EM4>[BP Chain]</EM4>,,,,,,,
Headhunters_DefendLocation_VE_Desc_001,Headhunters flying in and out of <EM4>[LOCATION]</EM4> are being harassed by some aggressive upstarts. Need them dealt with before they become a real pain in the ass.   \n\nGet there and I’ll update you on what these pests are doing so you can hunt ‘em down. \n\nClear ‘em all out I’ll throw <EM4>2 Council Scrip</EM4> to whoever accepted this gig as a bonus.\n\n- Stows,,[BP Chain],"Reward: 33,750 aUEC\nTime Limit: 11 min\nEfficiency: 3,068 aUEC/min\nCooldown: 15 min\nRequires: Applicant",Encounter: 12 ships\nHostiles: 1 ship(s)\nReinforcements: 6 ship(s),,,- Council Scrip x2,15 min
cfp_bombingrun_E_title_001,Eliminate Fuel Stores, <EM4>[BP]</EM4>,,,,,,,
cfp_bombingrun_E_desc_001,"We've been having escalating issues with the outlaws at [LOCATION] and can no longer stand by and watch as their aggressive actions hurt our community. \n\nWe are wary of launching a full scale assault, but believe that if their fuel stores are wiped out, it would deter them from further hostile actions. \n\nIf you're able, I'd appreciate you handling the destruction of the fuel personally. A ship capable of launching missiles would probably make the most sense, but I leave that up to you.\n\nThanks,\n \nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 65,500 aUEC\nTime Limit: 20 min\nEfficiency: 3,275 aUEC/min\nCooldown: 45 min\nRequires: Contractor",,,100% chance — 1 of 12\n- P6-LR Sniper Rifle\n- A03 Sniper Rifle\n- CBH-3 Helmet Base\n- PAB-1 Arms\n- PAB-1 Core\n- PAB-1 Legs\n- TrueDef-Pro Arms\n- TrueDef-Pro Core Base\n- Argus Helmet\n- TrueDef-Pro Legs\n- A03 Sniper Rifle Magazine (15 cap)\n- P6-LR Magazine (8 cap),,45 min
InterSec_KillShip_Vanduul_Title_Super_001,Eliminate Vanduul Ship, <EM4>[BP]</EM4>,,,,,,,
InterSec_KillShip_Vanduul_Desc_Super_001,"MISSION SPECS\n\nArea of Operation: Nyx System\nHostile Forces: Vanduul\nEquipment Specs: Combat-rated Ship\nBriefing: InterSec requires the services of a skilled pilot who’s prepared to assist in taking down a dangerous Vanduul target that has been involved in numerous attacks.\n\nVanduul incursions have been on the rise recently, posing not only a threat to the system of Nyx, but the UEE as a whole. It is imperative that these sightings are responded to in a swift and efficient manner. \n\nWe require you to fly to the last known sighting of the Vanduul ship at <EM4>[LOCATION]</EM4> and eliminate them immediately.  \n\nVanduul pilots are highly skilled and extremely dangerous. Engage the enemy immediately and do not hesitate – they will not show the same mercy.\n\nCompensation proportionate to the risk of the contract will be awarded.\n\nRespectfully,\nDeacon Tobin\nOperations Manager\nInterSec Defense Solutions\n\nThis communication consists of a non-binding offer that upon acceptance may be immediately terminated by either party without any given notice. All operations are conducted at the contractor’s own personal risk and must adhere to system law where applicable.",,[BP Reward],"Reward: 252,250 aUEC\nTime Limit: 45 min\nEfficiency: 5,606 aUEC/min\nRequires: Veteran Contractor",Encounter: 4 ships\nTarget: 1 ship(s)\nReinforcements: 3 ship(s),,100% chance — 1 of 10\n- R97 Shotgun\n- Monde Arms\n- Monde Core\n- Monde Legs\n- Monde Helmet\n- Monde Arms Hiro\n- Monde Core Hiro\n- Monde Legs Hiro\n- Monde Helmet Hiro\n- R97 Shotgun Magazine (18 cap),,
Foxwell_X2_DrawOutBoss_Title,Eliminate XenoThreat Enforcer,,,,,,,,
Foxwell_X2_DrawOutBoss_Desc,"We have intercepted a location beacon that puts <EM>[TARGET]</EM4> and their personal attack wing at <EM4>[LOCATION]</EM4>. They have been one of XenoThreat's most brutal enforcers since their founding. \n\n<EM>[TARGET]</EM4>'s not one to back down from a fight so hit their ships hard enough, do enough damage and they won't be able to resist joining in the action. Once they're out in the open, they'll be your main target.\n\nReady to go?\n\nKevin Walton\nDispatcher, Foxwell Enforcement\n'Security, Your Way'\n\nFoxwell Enforcement is a bonded security specialist licensed to operate throughout the UEE. We are always looking for new operators to join our family. If you or anyone you know is interested, please reach out to one of our contract representatives.",,,"Reward: 318,750 aUEC\nTime Limit: 42 min\nEfficiency: 7,589 aUEC/min\nRequires: Neutral",Encounter: 32 ships\nTarget: 11 ship(s),,,,
HeadHunters_ShipAmbush_S_title_001,Elite Op,,,,,,,,
HeadHunters_ShipAmbush_S_desc_001,"Headhunters are looking for someone with the skills and crew to execute an elite op. A military frigate and escort ships are stalking one of our Clips around the system. Don’t know their intentions but it can’t be good. Figure while they’ve got their eyes focused on their prize, we get someone to gather a crew to hit ‘em.  \n\nAlready got a spot picked out. If you get to <EM4>[LOCATION]</EM4> there’s an emission cloud that’s exactly what we need. Head there with friends, power down your ships, and wait for the <EM4>[TARGET]</EM4> and its escorts to pass by. \n\nWith a bonus of <EM4>16 Council Scrip</EM4> for the main contractor, payment alone should make this worth your while, but you can also keep anything you scrounge from the wreckage.\n\n- Stows",,,"Reward: 228,000 aUEC\nTime Limit: 22.9 min\nEfficiency: 9,935 aUEC/min\nCooldown: 15 min\nRequires: Rank V",Encounter: 8 ships\nHostiles: 6 ship(s)\nTarget: 1 ship(s),,,- Council Scrip x16,15 min
FTL_Courier_Nyx_Easy_Title_001,ENTRY LVL. COURIER NEEDED IN NYX, <EM4>[BP]</EM4>,,,,,,,
FTL_Courier_Nyx_Easy_Desc_001,"AVAILABLE FTL CONTRACT\nFOR IMMEDIATE ASSIGNMENT\n\n**CONTRACT DETAILS**\nFTL requires an entry-level courier to complete deliveries in Nyx.\nCourier must provide own transportation.\nPrior training in manual lifting is preferred, with the <EM4>ability to move boxes of up to .25 SCU</EM4> in weight.\nBy accepting this contract you agree to take full responsibility for the safety of the assigned packages.\n\nGood luck and good speed, courier!",,[BP Reward],"Reward: 41,250 aUEC\nTime Limit: 10 min\nEfficiency: 4,125 aUEC/min\nRequires: Neutral",,,100% chance — 1 of 6\n- Colossus\n- Huracan\n- Agni\n- Defiant\n- Defiant\n- Sedulity,,
FTL_Courier_Stanton_Easy_Title_001,ENTRY LVL. COURIER NEEDED IN STANTON, <EM4>[BP]</EM4>,,,,,,,
FTL_Courier_Stanton_Easy_Desc_001,"AVAILABLE FTL CONTRACT\nFOR IMMEDIATE ASSIGNMENT\n\n**CONTRACT DETAILS** \nA reliable and hardworking entry-level courier is needed to ferry a delivery in Stanton.\nYou will be responsible for providing your own transportation.\nInterested contractors need the <EM4>ability to lift up to .25 SCU boxes</EM4>.\nContractors are employed on an independent basis and therefore not covered by FTL's company insurance.\n\nGood luck and good speed, courier!",,[BP Reward],"Reward: 29,000 aUEC\nTime Limit: 7 min\nEfficiency: 4,143 aUEC/min\nRequires: Neutral",,,100% chance — 1 of 6\n- Colossus\n- Huracan\n- Agni\n- Defiant\n- Defiant\n- Sedulity,,
cfp_sabotage_server_elimiatespecific_HH_title_001,Eradicate All Traces of Headhunter Data, <EM4>[BP]</EM4>,,,,,,,
cfp_sabotage_server_elimiatespecific_HH_desc_001,"We're just putting the full picture together now, but so far we've learned that a Headhunter by the name of [TARGET] recently stole some sensitive data that if exposed will be detrimental to Citizens for Prosperity's cause. \n\nWe need to ensure that all traces of the stolen data are eradicated. This means taking out all the Headhunter servers at [LOCATION] as well as tracking down [TARGET] to stop them from further disseminating the information.\n\nYour help is much appreciated,\n \nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,[BP Reward],"Reward: 82,000 aUEC\nTime Limit: 25 min\nEfficiency: 3,280 aUEC/min\nCooldown: 45 min\nRequires: Head Contractor",,,100% chance — 1 of 12\n- P6-LR Sniper Rifle\n- A03 Sniper Rifle\n- CBH-3 Helmet Base\n- PAB-1 Arms\n- PAB-1 Core\n- PAB-1 Legs\n- TrueDef-Pro Arms\n- TrueDef-Pro Core Base\n- Argus Helmet\n- TrueDef-Pro Legs\n- A03 Sniper Rifle Magazine (15 cap)\n- P6-LR Magazine (8 cap),,45 min
Intersec_ShipWaveAttack_DrawOutBoss_S_Title_001,Eradicate UEE Threat: [TARGET],,,,,,,,
Intersec_ShipWaveAttack_DrawOutBoss_S_Desc_001,"MISSION SPECS\n\nArea of Operation: [LOCATION]\nHostile Forces: Outlaws\nEquipment Specs: Capital Ship\nBriefing: An outlaw fleet lead by <EM4>[TARGET]</EM4> has been planning a potentially devastating strike against sensitive UEE targets. InterSec has been tasked with dealing with this threat before their attack can be launched.\n\nAfter putting together a fighting force of your own, head to the site and engage with the hostiles there. Their leader will not risk entering into the fray themselve unless they feel their operation is suitably at risk. Stay at the site and take out hostile targets, until you can engage with the groups leader directly and put a stop to this heinous attack once and for all.\n\nRespectfully, \n\nDeacon Tobin \nOperations Manager \nInterSec Defense Solutions  \n\nThis communication consists of a non-binding offer that upon acceptance may be immediately terminated by either party without any given notice. All operations are conducted at the contractor’s own personal risk and must adhere to system law where applicable.",,,"Reward: 457,250 aUEC\nTime Limit: 51 min\nEfficiency: 8,966 aUEC/min\nRequires: Head Contractor",Encounter: 28 ships\nHostiles: 20 ship(s)\nTarget: 8 ship(s),,,,
northrock_bounty_prisoner_title_001,Escapee Bounty Assignment: [TARGET],,,,,,,,
northrock_bounty_PVP_desc_first,"Hi,\n\nHope you don't mind, but I was made aware of your Bounty Hunters Guild status and wanted to reach out and see if you'd be interested in contracting with Northrock Service Group, one of the top rated private security firms in the system.\n\nIf you are, the first step would be to complete a pro tem suspect apprehension. It's less of an evaluation and more of a chance to make sure that we can have a good working relationship. \n\nThe suspect you would be after is known as <EM4>[TARGET]</EM4>. They are known to be particularly elusive so you may have your work cut out for you.\n\nHope to hear from you soon, \n\nBraden Corchado\nLogistics Officer - Stanton Branch\nNorthrock Service Group",,,Time Limit: 25 min,,,,,
cfp_eliminateall_intro_title_001,Establishing Security, <EM4>[Intro]</EM4>,,,,,,,
cfp_eliminateall_intro_desc_001,"Welcome to the system, not sure if you're familiar with our organization but Citizens for Prosperity are a non-profit organization dedicated to bringing security and civilization to unclaimed systems.\n\nIf you're looking for work in the system and would like to help achieve our goal, we are looking for anyone with combat experience to help secure <EM4>[LOCATION]</EM4> that has been taken over by a group of outlaws.\n\nWe've tried to work with them but have only been met with violence and threats.\n\nOnce complete, we can offer you a variety of new job opportunities in this system and beyond.\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity",,,"Reward: 29,500 aUEC\nTime Limit: 10 min\nEfficiency: 2,950 aUEC/min\nCooldown: 45 min",,,,,45 min
Foxwell_Mercenary_Intro_title_001,Exciting New Opportunities with Foxwell Enforcement, <EM4>[Intro]</EM4>,,,,,,,
Foxwell_Mercenary_Intro_desc_001,"Are you an experienced contractor looking to increase your income with some security work? Or maybe you’re new to the field and are looking for some hands-on experience? \n\nFoxwell Enforcement are looking for enthusiastic new contractors to help with local law enforcement. To see if you’re the right fit for us, we’d like for you to head over to <EM4>[LOCATION]<EM4> and support the security forces on site. Local gang members have been giving that spot problems. Help the local forces take care of these outlaws to qualify for more contract opportunities with Foxwell.\n\nContractors are employed on a strictly freelance basis. Foxwell expects contractors to supply their own weapons and armor and does not accept any responsibility for any injuries, damages, or deaths accumulated during the contract.\n\nGood luck,\n\nMarcus Clenn\nFoxwell Enforcement\n'Security, Your Way'\n\nFoxwell Enforcement is a bonded security specialist licensed to operate throughout the UEE. We are always looking for new operators to join our family. If you or anyone you know is interested, please reach out to one of our contract representatives.",,[BP Chain],"Reward: 41,500 aUEC\nTime Limit: 13.6 min\nEfficiency: 3,051 aUEC/min\nCooldown: 15 min",,,,,15 min
Eckhart_EscortShips_E_title,Executive Protection Detail, <EM4>[BP]</EM4>,,,,,,,
Eckhart_EscortShips_E_desc,"ECKHART SECURITY, LLC.\nCONTRACTS & DISPATCH\n\nCONTRACT TYPE: Escort Ship\nApproval code: = [APPROVAL_CODE]\n\nFOR IMMEDIATE PROCESSING\n\nA group of ships located at <EM4>[LOCATION]</EM4> are requesting an escort. If you accept, head to the location immediately and await instructions. The client claims that this escort is purely a precautionary measure, but that doesn’t mean you should drop your guard. Expect some hostile forces and deal with them appropriately.\n\nThis contract is non-negotiable.\n\nThis message may contain confidential, proprietary, privileged and/or private information. The information is intended to be for the use of the individual or entity designated above.",,[BP Reward],"Reward: 79,500 aUEC\nTime Limit: 26 min\nEfficiency: 3,058 aUEC/min\nCooldown: 15 min\nRequires: Jr. Contractor",Encounter: 17 ships\nHostiles: 2 ship(s)\nReinforcements: 8 ship(s),,100% chance — 1 of 5\n- Shimmer\n- Obscura\n- M3A Cannon\n- M4A Cannon\n- M5A Cannon,- MG Scrip x3,15 min
EckhartSecurity_EliminateAll_DC_Title_001,Expel Outlaws,,,,,,,,
EckhartSecurity_EliminateAll_DC_Desc_001,"ECKHART SECURITY, LLC.\nCONTRACTS & DISPATCH\n\nCONTRACT TYPE: Clear Location\nAPPROVAL CODE = [APPROVAL_CODE]\n\nFOR IMMEDIATE PROCESSING\n\nA client is sending frantic comms that one of their locations is under attack. We need a contractor who can hustle to <EM4>[LOCATION]</EM4> and clear the location of hostile actors. \n\nAccording to onsite personnel, the outlaws are currently holed up near the <EM4>[LOCATION]</EM4>. Approach with caution and be prepared to use lethal force if the outlaws resist being removed.\n\nPayment will be issued upon successful completion of contract.\n\nThis contract is non-negotiable.\n\nThis message may contain confidential, proprietary, privileged and/or private information. The information is intended to be for the use of the individual or entity designated above.",,,"Reward: 54,250 aUEC\nTime Limit: 14 min\nEfficiency: 3,875 aUEC/min\nRequires: Security Trainee",,,,,
RedWind_HaulCargo_AToB_title_01,Trainee Hauler Needed for Direct Small Shipment,,,,,,,,
RedWind_HaulCargo_AToB_desc_01,RED WIND LINEHAUL\n'YOUR GOODS IN GOOD HANDS'\n----------------------------  \n\nNeed a pilot for a straightforward haul going from the freight elevator at <EM4>[LOCATION]</EM4> to <EM4>[DESTINATION]</EM4>. Should be easy enough as long as you got a ship that can handle containers up to <EM4>4 SCU</EM4> in size. \n\nCredits don't come much easier than this. Just be careful as the route's not exactly in the safest of sectors. And don't forget to pack a <EM4>handheld tractor beam</EM4> to bring along.,,,"Reward: 104,500 aUEC\nTime Limit: 15 min\nEfficiency: 6,967 aUEC/min\nRequires: Trainee",,"Order: 6-32 SCU Silicon, max 4 SCU",,,
RedWind_HaulCargo_AToB_waste_desc_01,"RED WIND LINEHAUL\n'YOUR GOODS IN GOOD HANDS'\n----------------------------  \n\nNeed a pilot for a waste material transfer going from the freight elevator at <EM4>[LOCATION]</EM4> to <EM4>[DESTINATION]</EM4>. Should be easy enough as long as you got a ship that can handle containers up to <EM4>4 SCU</EM4> in size. Wouldn't bring your cleanest ship either.\n\nOn the bright side though, most likely outlaws will leave you alone when they see what you're carrying. And don't forget to pack a <EM4>handheld tractor beam</EM4> to bring along.",,,"Reward: 104,500 aUEC\nTime Limit: 15 min\nEfficiency: 6,967 aUEC/min\nRequires: Trainee",,"Order: 6-32 SCU Waste, max 4 SCU",,,
RedWind_HaulCargo_SingleToMulti_title_01,Senior Hauler Needed for Large Shipment,,,,,,,,
